日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
111/05/11,28109896,14662149551,518.0,526.0,518.0,521.0,3.0,40227
111/05/12,35824788,18310112210,516.0,518.0,505.0,505.0,-16.0,107513
111/05/13,30204773,15412261905,507.0,514.0,506.0,511.0,6.0,37707
111/05/16,22012610,11472463517,521.0,524.0,518.0,520.0,9.0,30034
111/05/17,25812051,13627135311,521.0,533.0,520.0,530.0,10.0,30826
111/05/18,33605299,18075946322,541.0,541.0,534.0,538.0,8.0,34913
111/05/19,40798132,21322524192,523.0,527.0,520.0,522.0,-16.0,47232
111/05/20,26111163,13784969436,524.0,532.0,523.0,530.0,8.0,21767
111/05/23,18919447,10040778291,533.0,534.0,528.0,528.0,-2.0,18775
111/05/24,19130619,10036942322,530.0,531.0,520.0,520.0,-8.0,31716
111/05/25,22460245,11782306905,522.0,529.0,520.0,524.0,4.0,18352
111/05/26,31542825,16336162581,523.0,525.0,513.0,514.0,-10.0,72846
111/05/27,30113220,15855257581,524.0,530.0,522.0,530.0,16.0,28711
111/05/30,36480411,19757635264,538.0,547.0,537.0,547.0,17.0,42797
111/05/31,81962870,45507333341,542.0,560.0,540.0,560.0,13.0,34286
111/06/01,32970903,18171598472,550.0,555.0,548.0,549.0,-11.00,33456
111/06/02,26063495,14122936388,544.0,545.0,540.0,540.0,-9.00,30042
111/06/06,23732327,12843324209,541.0,544.0,538.0,540.0,0.00,16614
111/06/07,22152512,11846386906,535.0,538.0,532.0,535.0,-5.00,28586
111/06/08,19609522,10636701303,539.0,545.0,538.0,544.0,+9.00,18487
111/06/09,16894479,9115934006,538.0,542.0,537.0,541.0,-3.00,18802
111/06/10,22614596,12011615014,530.0,533.0,529.0,530.0,-11.00,44802
111/06/13,36758925,18998155460,518.0,519.0,515.0,516.0,-14.00,112023
111/06/14,38838778,19813036892,507.0,514.0,507.0,513.0,-3.00,85483
111/06/15,38360508,19580150319,508.0,515.0,508.0,509.0,-4.00,72687
111/06/16,31908028,16331470764,515.0,516.0,507.0,508.0,X0.00,42177
111/06/17,48400798,24260277915,499.5,503.0,499.0,501.0,-7.00,119618
111/06/20,36664463,18267359790,500.0,502.0,495.0,498.0,-3.00,89541
111/06/21,34432537,17298234720,501.0,505.0,499.0,505.0,+7.00,32427
111/06/22,33438921,16630857096,501.0,503.0,494.5,494.5,-10.50,81024
111/06/23,46808462,22836692325,492.0,493.5,485.0,485.5,-9.00,104661
111/06/24,29003676,14184287155,489.5,492.5,485.5,486.5,+1.00,43609
111/06/27,38684368,19379396938,496.0,506.0,495.5,498.5,+12.00,37438
111/06/28,16867955,8392290378,496.0,500.0,496.0,497.5,-1.00,18988
111/06/29,33124986,16352376816,496.0,498.5,491.0,491.0,-6.50,40024
111/06/30,49820824,23900613642,484.5,486.5,476.0,476.0,-15.00,111117
111/07/01,72597018,33459624760,471.5,474.0,452.5,453.5,-22.5,172267
111/07/04,61206245,27225872277,443.0,451.5,440.0,440.0,-13.5,96760
111/07/05,55469884,24538415224,449.5,451.5,433.0,446.0,6.0,70715
111/07/06,42156925,18556660847,442.0,447.5,435.0,435.5,-10.5,59018
111/07/07,50984110,22992311966,442.0,459.0,438.5,457.5,22.0,56227
111/07/08,39134398,18251251558,470.0,470.5,461.5,467.0,9.5,46039
111/07/11,22930675,10673806551,468.0,470.5,461.0,462.0,-5.0,25631
